なし
国語
算数
数学
生活
公民
地理
歴史
理科
英語
フランス語
ドイツ語
中国語
韓国語
体育
保健体育
技術
家庭
図画工作
音楽
芸術
美術
書道
工芸
情報
道徳
特別活動
総合的な学習の時間
